Amateur_Runner_T1,Amateur_Runner_T2,Amateur_Runner_T3,Elite_Runner_T1,Elite_Runner_T2,Elite_Runner_T3
11.161487393333331,13.00327298,14.381283506666668,29.38757733,31.6775559775,30.9463689675
29.111912463333333,27.60553085,32.40104508666666,21.239510912,21.385945463333336,21.243798026666667
6.85322873,12.691018155000002,16.480878437142856,29.800722564999997,28.314755534999996,28.638425542999997
26.834950214000003,28.466320940000003,32.9287230475,27.921119102,33.960053764,26.579898283333332
14.152728153999998,14.674173928333335,11.656211473333332,17.17107078,14.9194652125,11.254398982
19.981308016666667,23.254629559999998,16.91520397,12.95241632,12.345568539999999,10.224247383333333
20.836472179999998,29.64706864,28.808769863333332,29.69682998,28.279653775,35.179481429999996
22.855125405,25.699329786666663,26.643570266666668,17.1867042575,20.095089098000003,17.09018313
30.437237579999998,38.288871740000005,38.204774573333324,15.896866858,21.3441628475,18.417951707500002
52.713052239999996,59.85609133333333,53.64738209,29.11565133666667,25.04316763642857,27.8686107
30.845554829999994,36.25570220666667,41.445332316666665,28.23916569142857,35.65955786625,34.92797496
29.429104803333335,31.58039377666666,31.802890456666663,28.781358653333328,30.833577316000003,29.4109514175
21.329450983333334,24.02253337333333,23.445201686666667,19.3363306725,21.091019826666667,20.995177703333333
,,,26.955224345714285,21.28702960142857,20.218197559999997
,,,22.304648012500003,26.376364111666668,25.50460129142857
,,,37.643770492,42.037264964,35.17043631666667
,,,16.3600072725,16.563906904,17.288433126
,,,27.070545898888888,29.85526501,28.23379141142857
